"covariateId","coefficient","covariateValue"
8507001,2,2
18003,-2,-2
17003,1,1
16003,0,0
15003,0,0
14003,1,1
13003,2,2
12003,2,2
11003,1,1
10003,0,0
9003,0,0
8003,-1,-1
7003,-2,-2
6003,-3,-3
5003,-1,-1
4003,1,1
3003,0,0
1782437699,0,0
1782438699,0,0
1782439699,1,1
1782440699,1,1
1782441699,-1,-1
1782442699,1,1
1782443699,0,0
1782454699,2,2
1782455699,2,2
1782456699,4,4
