"covariateId","coefficient","covariateValue"
8507001,1,1
18003,-2,-2
17003,3,3
16003,0,0
15003,-2,-2
14003,-3,-3
13003,-6,-6
12003,-8,-8
11003,-10,-10
10003,-10,-10
9003,-12,-12
8003,-15,-15
7003,-17,-17
6003,-19,-19
5003,-17,-17
4003,-23,-23
3003,-22,-22
1782437699,3,3
1782438699,-1,-1
1782439699,0,0
1782440699,1,1
1782441699,-3,-3
1782442699,0,0
1782443699,1,1
1782454699,3,3
1782455699,5,5
1782456699,1,1
