"covariateId","coefficient","covariateValue"
8507001,4,4
18003,21,21
17003,25,25
16003,21,21
15003,22,22
14003,21,21
13003,22,22
12003,16,16
11003,12,12
10003,10,10
9003,5,5
8003,3,3
7003,0,0
6003,0,0
5003,-1,-1
4003,-2,-2
3003,-10,-10
1782437699,1,1
1782438699,6,6
1782439699,4,4
1782440699,4,4
1782441699,-4,-4
1782442699,5,5
1782443699,4,4
