"covariateId","coefficient","covariateValue"
8507001,3,3
18003,25,25
17003,27,27
16003,24,24
15003,23,23
14003,20,20
13003,19,19
12003,15,15
11003,13,13
10003,9,9
9003,6,6
8003,3,3
7003,0,0
6003,-2,-2
5003,-2,-2
4003,-4,-4
3003,-7,-7
1782437699,2,2
1782438699,6,6
1782439699,3,3
1782440699,4,4
1782441699,-3,-3
1782442699,3,3
1782443699,2,2
